RANKING,imp_prob,CTR
1,0.7439815015763909,0.02859794743960328
2,0.7541936156059403,0.022411612807243127
3,0.43720043184023594,0.025241169914293402
4,0.4299519989115785,0.025018294009453552
5,0.31085620999269664,0.024821028773597945
6,0.30778703274117947,0.025160599571734475
7,0.27579195018279135,0.024735598649055765
8,0.2741301165723154,0.024285898095728255
9,0.2296955103999147,0.02332508123162618
10,0.2266451930389657,0.023745608148118907
11,0.20710856072139594,0.02272677845196929
12,0.2074394518585026,0.02393651903991606
13,0.18413557651053886,0.025506283617975856
14,0.18096599133355695,0.021938956883855568
15,0.1696201127133023,0.02136880263839298
16,0.16839531196972585,0.022444922974987576
17,0.15285075826991043,0.021531685833129435
18,0.1498281593064312,0.02133801932973516
19,0.1376411798355719,0.02215429003228687
20,0.13512177265617945,0.023009534531893184
21,0.12151149730192187,0.022853321795224795
22,0.12028041245038967,0.020532896576518994
23,0.11602236622275444,0.021266855335441984
24,0.11486178356927317,0.020991721574590304
25,0.10480223786038714,0.022087886538014415
26,0.10335168171756548,0.021086050037907506
27,0.09965813227083795,0.022852912142152022
28,0.0984176260931035,0.019287759304837008
29,0.09052794722514754,0.022772168568920104
30,0.08833486458416553,0.020575433836413994
31,0.08182133016126361,0.02085633664581033
32,0.08161771017961653,0.020602610901441564
33,0.07786335555194278,0.01911783896646222
34,0.07715281996824441,0.020513499205929063
35,0.07569898869720404,0.02052706456202154
36,0.07504440268732786,0.021952390752555395
37,0.06958319336416961,0.02250445632798574
38,0.06905624344829733,0.01886225294957541
39,0.06631624461473544,0.020502749410840536
40,0.06609183374492486,0.020740975300823306
41,0.06638145458163366,0.005095923261390888
42,0.06462503495944705,0.004945904173106646
43,0.0644980145200754,0.0065298507462686565
44,0.06438631790744467,0.00375
45,0.05927840255204022,0.003746594005449591
46,0.058487469864873076,0.007273986837547627
47,0.058367894608441086,0.0066179031696273075
48,0.05841069060491686,0.005239259517988124
